incident_zip,demand_volume,constraint_volume,demand_norm,constraint_norm,final_score,action
11239,90.0,202.0,0.05232558139534884,0.10238215914850482,17.4,⚠️避開 (需求低或交通嚴重受阻)
11367,84.0,194.0,0.04883720930232558,0.0983274201723264,17.24,⚠️避開 (需求低或交通嚴重受阻)
10461,289.0,758.0,0.1680232558139535,0.3841865179929042,16.94,⚠️避開 (需求低或交通嚴重受阻)
10006,22.0,44.0,0.012790697674418604,0.022301064368981247,16.93,⚠️避開 (需求低或交通嚴重受阻)
10044,6.0,1.0,0.0034883720930232558,0.0005068423720223011,16.93,⚠️避開 (需求低或交通嚴重受阻)
10023,78.0,200.0,0.04534883720930233,0.10136847440446022,16.8,⚠️避開 (需求低或交通嚴重受阻)
10000,3.0,2.0,0.0017441860465116279,0.0010136847440446021,16.75,⚠️避開 (需求低或交通嚴重受阻)
11109,16.0,37.0,0.009302325581395349,0.01875316776482514,16.75,⚠️避開 (需求低或交通嚴重受阻)
11359,2.0,0.0,0.0011627906976744186,0.0,16.74,⚠️避開 (需求低或交通嚴重受阻)
10154,3.0,3.0,0.0017441860465116279,0.0015205271160669033,16.73,⚠️避開 (需求低或交通嚴重受阻)
11104,67.0,175.0,0.038953488372093024,0.08869741510390268,16.72,⚠️避開 (需求低或交通嚴重受阻)
11001,7.0,14.0,0.004069767441860465,0.007095793208312215,16.72,⚠️避開 (需求低或交通嚴重受阻)
10118,2.0,2.0,0.0011627906976744186,0.0010136847440446021,16.7,⚠️避開 (需求低或交通嚴重受阻)
10152,1.0,0.0,0.0005813953488372093,0.0,16.68,⚠️避開 (需求低或交通嚴重受阻)
11697,4.0,11.0,0.002325581395348837,0.005575266092245312,16.62,⚠️避開 (需求低或交通嚴重受阻)
11695,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10278,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10173,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10153,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10103,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10123,0.0,1.0,0.0,0.0005068423720223011,16.61,⚠️避開 (需求低或交通嚴重受阻)
10162,0.0,2.0,0.0,0.0010136847440446021,16.59,⚠️避開 (需求低或交通嚴重受阻)
10069,6.0,19.0,0.0034883720930232558,0.00963000506842372,16.57,⚠️避開 (需求低或交通嚴重受阻)
11005,0.0,3.0,0.0,0.0015205271160669033,16.57,⚠️避開 (需求低或交通嚴重受阻)
10151,0.0,3.0,0.0,0.0015205271160669033,16.57,⚠️避開 (需求低或交通嚴重受阻)
10119,0.0,4.0,0.0,0.0020273694880892043,16.55,⚠️避開 (需求低或交通嚴重受阻)
10279,0.0,4.0,0.0,0.0020273694880892043,16.55,⚠️避開 (需求低或交通嚴重受阻)
11422,88.0,240.0,0.05116279069767442,0.12164216928535225,16.54,⚠️避開 (需求低或交通嚴重受阻)
10075,15.0,45.0,0.00872093023255814,0.02280790674100355,16.53,⚠️避開 (需求低或交通嚴重受阻)
10020,1.0,9.0,0.0005813953488372093,0.00456158134820071,16.51,⚠️避開 (需求低或交通嚴重受阻)
10281,0.0,6.0,0.0,0.0030410542321338066,16.51,⚠️避開 (需求低或交通嚴重受阻)
11220,273.0,739.0,0.15872093023255815,0.3745565129244805,16.47,⚠️避開 (需求低或交通嚴重受阻)
11411,67.0,188.0,0.038953488372093024,0.0952863659401926,16.46,⚠️避開 (需求低或交通嚴重受阻)
11040,3.0,18.0,0.0017441860465116279,0.00912316269640142,16.43,⚠️避開 (需求低或交通嚴重受阻)
10312,92.0,257.0,0.053488372093023255,0.13025848960973138,16.42,⚠️避開 (需求低或交通嚴重受阻)
11694,154.0,426.0,0.08953488372093023,0.21591485048150025,16.36,⚠️避開 (需求低或交通嚴重受阻)
10308,41.0,127.0,0.023837209302325583,0.06436898124683224,16.29,⚠️避開 (需求低或交通嚴重受阻)
10005,12.0,53.0,0.0069767441860465115,0.026862645717181957,16.22,⚠️避開 (需求低或交通嚴重受阻)
11426,51.0,157.0,0.029651162790697676,0.07957425240750127,16.22,⚠️避開 (需求低或交通嚴重受阻)
11363,14.0,60.0,0.00813953488372093,0.030410542321338063,16.18,⚠️避開 (需求低或交通嚴重受阻)
11413,122.0,349.0,0.07093023255813953,0.17688798783578308,16.18,⚠️避開 (需求低或交通嚴重受阻)
11234,357.0,979.0,0.20755813953488372,0.49619868220983276,16.16,⚠️避開 (需求低或交通嚴重受阻)
11004,19.0,76.0,0.011046511627906977,0.03852002027369488,16.13,⚠️避開 (需求低或交通嚴重受阻)
11430,0.0,25.0,0.0,0.012671059300557527,16.13,⚠️避開 (需求低或交通嚴重受阻)
10021,19.0,77.0,0.011046511627906977,0.039026862645717184,16.11,⚠️避開 (需求低或交通嚴重受阻)
10282,0.0,31.0,0.0,0.015712113532691332,16.02,⚠️避開 (需求低或交通嚴重受阻)
10470,89.0,269.0,0.051744186046511625,0.13634059807399898,16.02,⚠️避開 (需求低或交通嚴重受阻)
10022,40.0,140.0,0.023255813953488372,0.07095793208312215,15.98,⚠️避開 (需求低或交通嚴重受阻)
10007,12.0,65.0,0.0069767441860465115,0.03294475418144957,15.98,⚠️避開 (需求低或交通嚴重受阻)
10280,3.0,46.0,0.0017441860465116279,0.02331474911302585,15.88,⚠️避開 (需求低或交通嚴重受阻)
11364,45.0,159.0,0.02616279069767442,0.08058793715154587,15.87,⚠️避開 (需求低或交通嚴重受阻)
11427,38.0,142.0,0.022093023255813953,0.07197161682716675,15.83,⚠️避開 (需求低或交通嚴重受阻)
11362,22.0,110.0,0.012790697674418604,0.055752660922453116,15.62,⚠️避開 (需求低或交通嚴重受阻)
